tripnumber,date,RHDV,MV,Ints,SEffort,KTBA,POPAN,POPANlcl,POPANucl,Sincefirsttrip
1,28/01/1998,0,0,0.992,-1.1084844,85,95.66557949,73.70802331,117.6231357,0
2,30/03/1998,0,1,0.89,-0.430975678,79,95.61259281,74.50899008,116.7161955,61
3,26/05/1998,0,0,0.24,0.246533044,88,79.4862598,56.09846149,102.8740581,118
4,16/06/1998,0,0,0.548,-1.780152529,88,63.14021578,41.66726803,84.61316352,139
5,21/07/1998,0,0,0.154,-0.010453023,135,121.4204636,88.70460814,154.136319,174
6,5/08/1998,0,0,0.616,-0.536106342,135,155.294482,118.1888509,192.4001131,189
7,14/09/1998,0,1,0.171,-0.477700417,150,174.1572793,137.1201217,211.1944368,229
8,28/09/1998,0,0,0.222,-1.096803215,150,82.5806257,60.63683676,104.5244146,243
9,13/10/1998,0,1,0.924,-2.113066298,94,110.4338642,81.72012659,139.1476018,258
10,8/12/1998,0,1,0.188,-1.499804093,94,122.2616493,93.22775033,151.2955483,314
11,21/12/1998,0,0,1.112,-2.095544521,94,67.07336275,49.84167401,84.30505149,327
12,24/02/1999,0,0,0.787,-1.149368547,69,67.07349134,49.84386724,84.30311545,392
13,19/04/1999,0,0,0.188,-0.901143369,115,60.20982883,43.62284426,76.79681341,446
14,4/05/1999,0,0,0.787,-1.213615064,115,60.20969384,43.63283739,76.78655029,461
15,22/06/1999,0,0,0.479,-0.29080146,197,141.1662013,108.1278386,174.204564,510
16,27/07/1999,0,0,0.753,-0.65291819,256,233.515154,186.9406607,280.0896473,545
17,13/09/1999,1,0,1.146,-0.454338048,367,333.3021873,279.3769845,387.22739,593
18,22/11/1999,0,0,0.103,0.62033096,367,239.8789257,207.4103334,272.347518,663
19,3/12/1999,0,0,0.753,-1.879442601,202,187.813582,163.2281467,212.3990173,674
20,19/01/2000,0,1,0.975,0.047952901,135,187.8137584,163.2890173,212.3384995,721
21,20/03/2000,0,1,1.352,-0.080540132,99,106.6965598,82.55935466,130.8337649,782
22,12/06/2000,0,1,1.129,0.515200296,132,128.4125061,98.7091697,158.1158424,866
23,21/08/2000,0,0,0.137,-1.867761416,207,159.223013,126.2929774,192.1530487,936
24,29/08/2000,0,0,1.129,-0.080540132,207,259.8136063,215.7303357,303.8968768,944
25,6/11/2000,0,0,1.352,1.110940724,219,359.3853603,308.6079759,410.1627446,1013
26,29/01/2001,0,1,1.044,-0.67628056,123,185.1911864,149.064773,221.3175998,1097
27,2/04/2001,0,0,1.01,0.515200296,80,84.75393324,63.10903266,106.3988338,1160
28,4/06/2001,0,0,0.222,-1.272020988,111,91.07048229,67.62122198,114.5197426,1223
29,18/06/2001,0,0,1.3,-0.080540132,111,105.6291471,80.22798915,131.0303051,1237
30,5/09/2001,0,0,0.12,-1.272020988,181,207.7308336,169.3065094,246.1551579,1316
31,13/09/2001,1,0,0.992,-0.67628056,181,139.6197164,107.205623,172.0338097,1324
32,12/11/2001,0,0,1.489,0.515200296,89,119.758212,92.94260152,146.5738226,1384
